InpStartHour,InpEndHour,InpEndMinute,InpFvgMaxAgeBars,InpRiskPercent,total_trades,win_rate,profit_factor,max_drawdown,max_consecutive_losses,sharpe_ratio
9.0,5.0,22.0,2.0,0.724,0,0.0,0.0,1.0,0,0.0
12.0,13.0,34.0,4.0,0.6078,5,0.0,0.0,0.0301,5,-2.35
5.0,8.0,27.0,2.0,0.3139,11,0.1818,0.44,0.0218,7,-3.6
4.0,11.0,16.0,2.0,0.3121,26,0.2308,0.59,0.037,5,-4.97
11.0,10.0,39.0,3.0,0.5163,0,0.0,0.0,1.0,0,0.0
10.0,13.0,25.0,1.0,0.652,0,0.0,0.0,1.0,0,0.0
8.0,8.0,32.0,3.0,0.4264,5,0.4,1.32,0.0127,3,0.39
8.0,14.0,21.0,2.0,0.5811,24,0.3333,0.99,0.0402,7,-0.13
11.0,7.0,44.0,4.0,0.3712,0,0.0,0.0,1.0,0,0.0
11.0,11.0,28.0,1.0,0.4914,0,0.0,0.0,1.0,0,0.0
4.0,10.0,35.0,3.0,0.711,29,0.1379,0.32,0.1208,12,-5.0
6.0,13.0,38.0,3.0,0.663,48,0.3542,1.08,0.0462,5,1.3
12.0,8.0,16.0,1.0,0.3846,0,0.0,0.0,1.0,0,0.0
9.0,16.0,34.0,3.0,0.2527,33,0.3333,0.97,0.0152,5,-0.26
7.0,5.0,25.0,2.0,0.5448,0,0.0,0.0,1.0,0,0.0
7.0,11.0,32.0,1.0,0.3363,0,0.0,0.0,1.0,0,0.0
9.0,10.0,24.0,3.0,0.6167,10,0.7,4.74,0.0123,2,3.95
13.0,14.0,39.0,2.0,0.7465,3,0.3333,0.99,0.0149,2,-0.01
6.0,7.0,18.0,3.0,0.4564,10,0.2,0.5,0.0315,7,-2.43
5.0,15.0,30.0,4.0,0.4197,48,0.2917,0.81,0.0659,9,-2.63
11.0,6.0,37.0,2.0,0.6275,0,0.0,0.0,1.0,0,0.0
10.0,12.0,19.0,3.0,0.5094,10,0.5,1.99,0.0152,3,2.4
8.0,9.0,42.0,2.0,0.2878,4,0.5,1.99,0.0057,2,0.47
7.0,15.0,35.0,2.0,0.6737,27,0.4074,1.36,0.0469,6,3.87
10.0,6.0,26.0,3.0,0.4051,0,0.0,0.0,1.0,0,0.0
12.0,13.0,44.0,1.0,0.2713,0,0.0,0.0,1.0,0,0.0
5.0,9.0,22.0,3.0,0.5575,17,0.3529,1.08,0.0166,3,1.03
6.0,12.0,25.0,3.0,0.5665,31,0.4839,1.84,0.0226,4,7.78
13.0,9.0,33.0,1.0,0.3546,0,0.0,0.0,1.0,0,0.0
9.0,14.0,16.0,4.0,0.4689,23,0.3478,1.05,0.0328,4,0.41
6.0,7.0,39.0,2.0,0.7022,7,0.2857,0.79,0.0278,4,-0.43
7.0,13.0,18.0,2.0,0.4323,27,0.3704,1.16,0.0303,4,1.85
10.0,8.0,41.0,3.0,0.6461,0,0.0,0.0,1.0,0,0.0
12.0,15.0,23.0,2.0,0.5299,14,0.4286,1.47,0.021,4,2.59
5.0,6.0,31.0,4.0,0.2985,9,0.3333,0.99,0.0119,4,-0.01
4.0,13.0,42.0,3.0,0.3275,47,0.3191,0.93,0.0455,7,-1.06
11.0,8.0,21.0,2.0,0.5942,0,0.0,0.0,1.0,0,0.0
11.0,11.0,36.0,3.0,0.7299,1,1.0,0.0,0.0,0,0.58
8.0,10.0,28.0,1.0,0.4418,0,0.0,0.0,1.0,0,0.0
8.0,11.0,40.0,4.0,0.5349,21,0.381,1.22,0.0213,4,2.06
10.0,10.0,17.0,2.0,0.2626,0,0.0,0.0,1.0,0,0.0
11.0,14.0,31.0,3.0,0.3827,15,0.2,0.49,0.034,6,-3.15
4.0,7.0,24.0,2.0,0.6648,10,0.4,1.32,0.0134,2,0.84
5.0,16.0,19.0,1.0,0.7091,0,0.0,0.0,1.0,0,0.0
12.0,5.0,42.0,3.0,0.4932,0,0.0,0.0,1.0,0,0.0
9.0,13.0,30.0,2.0,0.3614,15,0.4,1.32,0.011,3,1.21
7.0,8.0,37.0,4.0,0.591,6,0.1667,0.4,0.0235,4,-1.68
7.0,14.0,28.0,3.0,0.2896,32,0.375,1.18,0.0259,7,1.94
9.0,7.0,35.0,1.0,0.5075,0,0.0,0.0,1.0,0,0.0
13.0,12.0,21.0,3.0,0.6374,0,0.0,0.0,1.0,0,0.0
6.0,10.0,44.0,2.0,0.4098,22,0.3182,0.93,0.0283,7,-1.2
5.0,12.0,33.0,2.0,0.4663,36,0.3333,0.99,0.0369,6,-0.21
12.0,9.0,26.0,4.0,0.7367,0,0.0,0.0,1.0,0,0.0
10.0,15.0,38.0,2.0,0.6185,14,0.1429,0.32,0.0715,12,-4.19
8.0,6.0,15.0,3.0,0.3344,0,0.0,0.0,1.0,0,0.0
8.0,11.0,34.0,2.0,0.5715,14,0.2143,0.54,0.0503,9,-3.53
10.0,10.0,25.0,3.0,0.35,1,0.0,0.0,0.0035,1,-0.06
12.0,13.0,38.0,2.0,0.4818,8,0.5,1.79,0.0099,2,0.54
5.0,8.0,16.0,4.0,0.6897,19,0.1579,0.37,0.08,8,-5.0
6.0,15.0,28.0,4.0,0.6843,47,0.3617,1.11,0.0551,6,1.28
13.0,5.0,35.0,2.0,0.3941,0,0.0,0.0,1.0,0,0.0
9.0,13.0,21.0,3.0,0.274,14,0.4286,1.49,0.0137,5,1.89
7.0,8.0,43.0,1.0,0.5543,0,0.0,0.0,1.0,0,0.0
7.0,14.0,19.0,2.0,0.3146,24,0.2083,0.51,0.0463,13,-5.0
9.0,7.0,42.0,3.0,0.6066,0,0.0,0.0,1.0,0,0.0
12.0,12.0,29.0,1.0,0.7248,0,0.0,0.0,1.0,0,0.0
5.0,9.0,37.0,3.0,0.4464,21,0.3333,0.99,0.0179,3,-0.11
4.0,12.0,40.0,3.0,0.4296,44,0.3864,1.25,0.0213,5,3.34
11.0,9.0,18.0,2.0,0.6493,0,0.0,0.0,1.0,0,0.0
