time,open,high,low,close,tick_volume,spread,real_volume
2023-08-31 23:00:00,15944.9,15959.0,15944.9,15956.0,209,430,0
2023-08-31 23:15:00,15958.0,15958.0,15952.0,15955.0,86,810,0
2023-08-31 23:30:00,15955.0,15957.0,15951.94,15954.0,55,810,0
2023-08-31 23:45:00,15955.0,15955.0,15952.0,15953.0,43,810,0
2023-09-01 03:15:00,15965.2,15981.2,15965.2,15980.7,160,310,0
2023-09-01 03:30:00,15980.2,15992.7,15979.2,15990.2,156,310,0
2023-09-01 03:45:00,15990.2,15991.2,15982.7,15983.7,138,310,0
2023-09-01 04:00:00,15983.7,15991.2,15983.7,15990.7,112,310,0
2023-09-01 04:15:00,15990.7,16001.7,15990.7,15999.2,106,310,0
2023-09-01 04:30:00,15999.7,16001.7,15987.7,15990.2,83,310,0
2023-09-01 04:45:00,15994.2,15999.7,15981.7,15998.2,137,310,0
2023-09-01 05:00:00,15998.7,16004.2,15998.2,16004.2,56,310,0
2023-09-01 05:15:00,16004.2,16008.7,16002.2,16002.2,72,310,0
2023-09-01 05:30:00,16002.7,16003.7,15995.7,15996.2,63,310,0
2023-09-01 05:45:00,15997.2,15997.7,15988.7,15991.7,100,310,0
2023-09-01 06:00:00,15992.2,15994.2,15990.7,15990.7,83,310,0
2023-09-01 06:15:00,15990.7,15992.7,15989.7,15990.7,52,310,0
2023-09-01 06:30:00,15991.7,15997.2,15989.2,15991.7,92,310,0
2023-09-01 06:45:00,15992.2,15994.2,15989.2,15993.2,73,310,0
2023-09-01 07:00:00,15994.2,16002.2,15994.2,16001.2,78,310,0
2023-09-01 07:15:00,16001.2,16003.7,15999.2,16003.2,46,310,0
2023-09-01 07:30:00,16003.2,16003.7,15997.2,15998.7,75,310,0
2023-09-01 07:45:00,15998.7,16000.7,15996.7,15998.2,44,310,0
2023-09-01 08:00:00,15998.2,15999.7,15996.2,15998.7,59,310,0
2023-09-01 08:15:00,15998.2,16000.2,15993.7,15996.2,51,310,0
2023-09-01 08:30:00,15995.2,15996.2,15991.2,15992.2,82,310,0
2023-09-01 08:45:00,15992.2,15993.2,15980.7,15984.7,118,310,0
2023-09-01 09:00:00,15985.2,15985.7,15974.5,15976.5,155,50,0
2023-09-01 09:15:00,15974.5,15978.5,15945.5,15947.5,151,50,0
2023-09-01 09:30:00,15947.5,15959.5,15943.5,15948.5,171,50,0
2023-09-01 09:45:00,15948.5,15955.5,15924.7,15954.5,254,50,0
2023-09-01 10:00:00,15949.5,15949.5,15909.5,15922.5,590,50,0
2023-09-01 10:15:00,15923.5,15949.3,15920.5,15941.5,454,50,0
2023-09-01 10:30:00,15943.5,15974.5,15939.5,15963.5,408,50,0
2023-09-01 10:45:00,15962.5,15984.5,15962.5,15979.5,231,50,0
2023-09-01 11:00:00,15979.5,15984.5,15957.5,15964.5,332,50,0
2023-09-01 11:15:00,15963.5,15964.5,15935.5,15950.5,273,50,0
2023-09-01 11:30:00,15949.5,15958.5,15938.5,15946.5,275,50,0
2023-09-01 11:45:00,15945.5,15952.5,15932.5,15944.5,275,50,0
2023-09-01 12:00:00,15944.5,15966.5,15941.5,15963.5,278,50,0
2023-09-01 12:15:00,15963.5,15988.5,15963.5,15979.5,230,50,0
2023-09-01 12:30:00,15979.5,15985.5,15954.5,15954.5,303,50,0
2023-09-01 12:45:00,15955.5,15964.5,15932.5,15935.5,307,50,0
2023-09-01 13:00:00,15937.5,15943.0,15922.0,15943.0,268,50,0
2023-09-01 13:15:00,15943.0,15949.0,15933.0,15941.0,203,50,0
2023-09-01 13:30:00,15941.0,15959.0,15940.0,15958.0,224,50,0
2023-09-01 13:45:00,15957.0,15958.0,15930.2,15933.0,201,50,0
2023-09-01 14:00:00,15932.0,15936.0,15924.0,15932.5,221,50,0
2023-09-01 14:15:00,15931.5,15949.5,15931.5,15935.5,218,50,0
2023-09-01 14:30:00,15935.5,15944.5,15925.5,15944.5,202,50,0
2023-09-01 14:45:00,15944.5,15947.5,15917.5,15922.5,211,50,0
2023-09-01 15:00:00,15923.5,15940.5,15918.5,15919.5,239,50,0
2023-09-01 15:15:00,15919.5,15925.3,15909.5,15925.3,235,50,0
2023-09-01 15:30:00,15925.5,15948.5,15916.5,15917.5,640,50,0
2023-09-01 15:45:00,15916.5,15939.5,15911.5,15933.5,438,50,0
2023-09-01 16:00:00,15934.5,15967.5,15924.5,15954.5,443,50,0
2023-09-01 16:15:00,15955.5,15956.5,15933.5,15938.5,318,50,0
2023-09-01 16:30:00,15937.5,15943.5,15853.5,15884.5,694,50,0
2023-09-01 16:45:00,15884.5,15884.5,15836.5,15865.8,715,50,0
2023-09-01 17:00:00,15866.1,15907.5,15840.5,15890.5,717,50,0
2023-09-01 17:15:00,15890.5,15905.5,15880.5,15904.5,505,50,0
2023-09-01 17:30:00,15903.5,15905.5,15882.5,15891.5,490,50,0
2023-09-01 17:45:00,15890.5,15891.5,15854.0,15860.0,475,50,0
2023-09-01 18:00:00,15859.0,15867.0,15850.0,15851.0,380,50,0
2023-09-01 18:15:00,15850.0,15870.0,15843.5,15844.5,399,50,0
2023-09-01 18:30:00,15845.5,15850.5,15831.5,15837.5,338,50,0
2023-09-01 18:45:00,15837.5,15837.5,15823.5,15835.5,270,50,0
2023-09-01 19:00:00,15834.5,15850.0,15829.0,15848.0,251,50,0
2023-09-01 19:15:00,15848.0,15858.0,15845.0,15852.0,185,50,0
2023-09-01 19:30:00,15852.0,15858.0,15836.0,15836.0,203,50,0
2023-09-01 19:45:00,15836.0,15852.0,15834.0,15847.0,186,50,0
2023-09-01 20:00:00,15847.0,15849.0,15840.0,15844.0,148,50,0
2023-09-01 20:15:00,15844.0,15847.0,15836.0,15837.0,127,50,0
2023-09-01 20:30:00,15837.0,15844.0,15837.0,15840.0,133,50,0
2023-09-01 20:45:00,15840.0,15849.0,15839.0,15848.0,117,50,0
2023-09-01 21:00:00,15848.0,15852.0,15842.0,15852.0,140,50,0
2023-09-01 21:15:00,15852.0,15852.0,15837.0,15841.0,172,50,0
2023-09-01 21:30:00,15840.0,15845.0,15837.0,15843.0,135,50,0
2023-09-01 21:45:00,15842.0,15851.0,15842.0,15851.0,90,50,0
2023-09-01 22:00:00,15851.0,15853.0,15845.0,15848.0,140,50,0
2023-09-01 22:15:00,15848.0,15855.0,15848.0,15854.0,98,50,0
2023-09-01 22:30:00,15854.0,15859.0,15849.0,15853.0,135,50,0
2023-09-01 22:45:00,15854.0,15863.0,15848.0,15861.1,157,50,0
2023-09-04 03:15:00,15870.15,15877.15,15866.15,15872.15,268,210,0
2023-09-04 03:30:00,15872.65,15876.65,15871.65,15874.15,293,210,0
2023-09-04 03:45:00,15874.15,15882.65,15874.15,15879.15,242,210,0
2023-09-04 04:00:00,15879.15,15879.15,15871.65,15874.65,146,210,0
2023-09-04 04:15:00,15874.65,15883.65,15866.65,15877.65,675,210,0
2023-09-04 04:30:00,15877.65,15878.65,15862.65,15867.65,725,210,0
2023-09-04 04:45:00,15867.65,15868.65,15860.65,15867.65,404,210,0
2023-09-04 05:00:00,15866.65,15874.65,15866.65,15872.65,820,210,0
2023-09-04 05:15:00,15872.65,15883.15,15870.65,15880.65,442,210,0
2023-09-04 05:30:00,15880.65,15886.65,15879.15,15885.15,574,210,0
2023-09-04 05:45:00,15885.65,15889.15,15882.15,15888.65,432,210,0
2023-09-04 06:00:00,15888.15,15890.15,15883.65,15885.65,352,210,0
2023-09-04 06:15:00,15885.65,15892.15,15883.65,15883.65,226,210,0
2023-09-04 06:30:00,15883.65,15888.65,15881.65,15883.65,272,210,0
2023-09-04 06:45:00,15883.65,15887.65,15881.65,15887.65,311,210,0
2023-09-04 07:00:00,15887.65,15888.15,15885.15,15887.65,72,210,0
2023-09-04 07:15:00,15887.65,15889.65,15886.65,15888.65,52,210,0
2023-09-04 07:30:00,15888.15,15889.15,15885.15,15885.15,65,210,0
2023-09-04 07:45:00,15885.15,15888.65,15884.65,15886.65,61,210,0
2023-09-04 08:00:00,15886.15,15890.65,15884.15,15890.15,237,210,0
2023-09-04 08:15:00,15889.65,15896.65,15889.15,15893.15,389,210,0
2023-09-04 08:30:00,15893.65,15897.15,15890.15,15894.15,326,210,0
2023-09-04 08:45:00,15894.15,15896.15,15886.15,15894.15,501,210,0
2023-09-04 09:00:00,15893.15,15899.95,15886.55,15889.95,383,50,0
2023-09-04 09:15:00,15888.55,15905.95,15886.95,15904.95,237,50,0
2023-09-04 09:30:00,15904.95,15906.95,15887.95,15888.95,268,50,0
2023-09-04 09:45:00,15888.95,15900.95,15887.95,15896.95,271,50,0
2023-09-04 10:00:00,15897.95,15926.25,15884.95,15913.45,1496,50,0
2023-09-04 10:15:00,15914.45,15939.45,15910.25,15936.45,1037,50,0
2023-09-04 10:30:00,15936.45,15963.95,15933.45,15954.45,981,50,0
2023-09-04 10:45:00,15955.45,15961.45,15924.95,15936.95,1096,50,0
2023-09-04 11:00:00,15936.95,15952.45,15925.15,15950.45,801,50,0
2023-09-04 11:15:00,15950.45,15962.45,15943.45,15947.45,614,50,0
2023-09-04 11:30:00,15947.45,15950.45,15934.45,15943.45,617,50,0
2023-09-04 11:45:00,15943.45,15950.45,15932.95,15945.45,522,50,0
2023-09-04 12:00:00,15945.45,15948.95,15936.65,15938.95,559,50,0
2023-09-04 12:15:00,15938.95,15953.95,15934.95,15945.45,539,50,0
2023-09-04 12:30:00,15945.45,15948.45,15928.95,15930.95,461,50,0
2023-09-04 12:45:00,15930.95,15931.95,15914.15,15923.95,404,50,0
2023-09-04 13:00:00,15922.95,15938.45,15919.95,15925.95,326,50,0
2023-09-04 13:15:00,15925.95,15928.95,15916.95,15916.95,399,50,0
2023-09-04 13:30:00,15916.95,15923.95,15913.15,15919.95,299,50,0
2023-09-04 13:45:00,15919.95,15920.95,15909.95,15918.95,269,50,0
2023-09-04 14:00:00,15918.95,15924.95,15915.95,15916.95,262,50,0
2023-09-04 14:15:00,15916.95,15918.95,15895.95,15899.45,314,50,0
2023-09-04 14:30:00,15899.45,15905.45,15892.45,15900.45,334,50,0
2023-09-04 14:45:00,15901.45,15901.45,15885.45,15896.45,343,50,0
2023-09-04 15:00:00,15896.45,15896.45,15878.45,15883.45,472,50,0
2023-09-04 15:15:00,15883.45,15886.45,15872.45,15879.45,401,50,0
2023-09-04 15:30:00,15879.45,15880.45,15863.45,15867.45,341,50,0
2023-09-04 15:45:00,15867.45,15889.95,15860.45,15880.95,392,50,0
2023-09-04 16:00:00,15879.95,15880.95,15872.95,15876.95,374,50,0
2023-09-04 16:15:00,15876.95,15885.95,15871.95,15878.95,404,50,0
2023-09-04 16:30:00,15878.95,15879.95,15866.95,15878.45,376,50,0
2023-09-04 16:45:00,15878.45,15878.45,15864.95,15867.95,373,50,0
2023-09-04 17:00:00,15867.95,15867.95,15840.45,15849.45,439,50,0
2023-09-04 17:15:00,15849.45,15849.45,15818.95,15821.95,492,50,0
2023-09-04 17:30:00,15821.95,15827.95,15806.95,15824.95,516,50,0
2023-09-04 17:45:00,15824.95,15824.95,15799.45,15802.45,492,50,0
2023-09-04 18:00:00,15802.45,15815.45,15799.45,15813.45,478,50,0
2023-09-04 18:15:00,15813.45,15818.45,15806.45,15811.45,413,50,0
2023-09-04 18:30:00,15811.45,15832.45,15811.45,15832.45,368,50,0
2023-09-04 18:45:00,15832.45,15833.45,15824.45,15825.45,192,50,0
2023-09-04 19:00:00,15825.45,15831.45,15824.45,15830.45,139,50,0
2023-09-04 19:15:00,15830.45,15832.45,15827.45,15828.45,63,50,0
2023-09-04 19:30:00,15828.45,15833.45,15827.45,15833.45,90,50,0
2023-09-04 19:45:00,15833.45,15834.45,15828.45,15828.45,162,50,0
2023-09-04 20:00:00,15828.45,15831.45,15827.45,15829.45,64,50,0
2023-09-04 20:15:00,15829.45,15831.45,15827.45,15829.45,34,50,0
2023-09-04 20:30:00,15829.45,15831.25,15827.65,15827.65,42,50,0
2023-09-04 20:45:00,15827.65,15831.25,15825.45,15826.45,31,50,0
2023-09-04 21:00:00,15826.45,15831.25,15825.45,15829.45,44,50,0
2023-09-04 21:15:00,15829.45,15830.45,15826.05,15827.45,47,50,0
2023-09-04 21:30:00,15827.45,15829.45,15826.45,15827.45,27,50,0
2023-09-04 21:45:00,15827.45,15828.45,15826.45,15827.45,42,50,0
2023-09-04 22:00:00,15827.45,15830.45,15827.25,15829.45,30,50,0
2023-09-04 22:15:00,15829.45,15829.45,15829.45,15829.45,15,50,0
2023-09-04 22:30:00,15829.45,15829.45,15827.45,15827.45,30,50,0
